Year_or_Period,S&P 500,Small Cap,T-Bill,10Y Treasury,Baa Corporate,Real Estate,Gold,Inflation,Cash,Portfolio_Return,Portfolio_Value,Portfolio_Drawdown,Turnover,Bull,Bear,Crisis,Dominant_Regime,Top_Allocated_Asset,Top_Asset_Weight,Decision_Mode,Decision_Explanation
2006,0.0015537242009859478,0.9336946707550109,0.0028030465722516345,0.0045995102962456775,0.035936268845788474,0.0034201840696728787,0.011865085657022946,0.00300386959727122,0.003123640004816818,-0.11676687297580977,2.2305840231345844,-0.11676687297576353,1.6409592684044874,1.836981343135814e-230,1.0,3.53336696132509e-15,Bear,Small Cap,0.9336946707550109,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.3%), indicating risk-on allocation. The largest allocation is to Small Cap (93.4%). Portfolio is in meaningful drawdown (-11.7%), so risk control is important. Turnover is high (1.64), meaning the policy made a substantial allocation change. The realised next-period portfolio return was negative (-11.68%)."
2007,0.001493644654782544,0.9341708035348153,0.0022246444510559313,0.005160450876982287,0.032640296801097535,0.002305145425990201,0.015587951064539978,0.002642675116122529,0.0037743880736794506,-0.41964998320809743,1.2945194752819056,-0.4874156399001536,0.010821373673842094,4.5619871418142667e-212,0.9996261849414732,0.0003738150585989739,Bear,Small Cap,0.9341708035348153,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.4%), indicating risk-on allocation. The largest allocation is to Small Cap (93.4%). Portfolio is in meaningful drawdown (-48.7%), so risk control is important. Turnover is low (0.01), meaning the policy stayed relatively stable. The realised next-period portfolio return was negative (-41.96%)."
2008,1.1989262903100743e-05,0.999142808914621,1.6530932447329557e-05,5.1553765041935746e-05,0.00019274963840322694,2.3303879538622357e-05,0.0004936881382562697,4.556319161175001e-06,6.281914862809843e-05,0.4353306166519345,1.858063436724316,-0.2642719743319227,0.12994401075967643,3.145818026749147e-222,1.1614833654241436e-12,0.9999999999988631,Crisis,Small Cap,0.999142808914621,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (99.9%). Portfolio is in meaningful drawdown (-26.4%), so risk control is important. The realised next-period portfolio return was positive (43.53%)."
2009,3.4587485172190365e-06,0.9996658544467558,5.595527213615813e-06,1.6549605424537045e-05,7.408727858632814e-05,9.94671782841109e-06,0.00020184712485059813,1.7308171346086714e-06,2.0929732688868645e-05,0.26347286073262866,2.3476127258207713,-0.07042760668808976,0.0010460910642703521,5e-324,2.1485009051744603e-07,0.9999997851498623,Crisis,Small Cap,0.9996658544467558,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (100.0%). Portfolio has a mild drawdown (-7.0%). Turnover is low (0.00), meaning the policy stayed relatively stable. The realised next-period portfolio return was positive (26.35%)."
2010,4.545625192287195e-05,0.9967594640182184,5.8191581138074477e-05,0.00016464598676444798,0.0006349126596983662,8.980718719180312e-05,0.0019215165276274574,4.2707969858438355e-05,0.00028329781658310166,-0.16542663626906673,1.9592550493257863,-0.22420364088219946,0.005812780857077839,6.634718190248548e-259,1.7218773496304037e-08,0.999999982781219,Crisis,Small Cap,0.9967594640182184,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (99.7%). Portfolio is in meaningful drawdown (-22.4%), so risk control is important. Turnover is low (0.01), meaning the policy stayed relatively stable. The realised next-period portfolio return was negative (-16.54%)."
2011,0.00850682449825806,0.7194380412729824,0.0065111844816196154,0.018371422175307486,0.04035739497907226,0.007081824072615808,0.12951374254207082,0.02502172398032869,0.045197841997025395,0.12968861619915226,2.2133481254540492,-0.12359168461592272,0.5546428454907495,5.379857205390387e-253,2.485187314505103e-11,0.9999999999752163,Crisis,Small Cap,0.7194380412729824,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (4.5%), indicating risk-on allocation. The largest allocation is to Small Cap (71.9%). Portfolio is in meaningful drawdown (-12.4%), so risk control is important. Turnover is high (0.55), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (12.97%)."
2012,0.0009346060147720124,0.9619597576391501,0.0008652908366397948,0.002445121131622256,0.005105009025847755,0.0013033959430335158,0.02016819698709701,0.0019540272674746398,0.005264595153400748,0.4598351447350687,3.2311233810713054,0.0,0.4850434327325781,5.508478107785231e-232,0.00011248531624348754,0.9998875146837258,Crisis,Small Cap,0.9619597576391501,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (0.5%), indicating risk-on allocation. The largest allocation is to Small Cap (96.2%). The realised next-period portfolio return was positive (45.98%)."
2013,0.0008921004035221898,0.9310053336035542,0.0023976188845114686,0.0028828386849242588,0.04839989699535626,0.00266764410836081,0.007433748720765647,0.002041101900083661,0.002279716697990348,0.012899073204374847,3.2728018780961112,0.0,0.09343251273720597,3.396460212013996e-295,0.7157654142470681,0.2842345857530393,Bear,Small Cap,0.9310053336035542,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.2%), indicating risk-on allocation. The largest allocation is to Small Cap (93.1%). Turnover is low (0.09), meaning the policy stayed relatively stable. The realised next-period portfolio return was positive (1.29%)."
2014,0.01928236940830525,0.0565978051685556,0.0404473160509726,0.038317950261905966,0.6443747119470286,0.03167423819665773,0.03637577524578797,0.1111990063702681,0.021730827349873773,-0.023931892955622425,3.194477533884555,-0.02393189295561519,1.7488150568702838,2.5378516467455034e-227,0.9999999998346993,1.6520945533434828e-10,Bear,Baa Corporate,0.6443747119470286,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (2.2%), indicating risk-on allocation. The largest allocation is to Baa Corporate (64.4%). Portfolio has a mild drawdown (-2.4%). Turnover is high (1.75), meaning the policy made a substantial allocation change. The realised next-period portfolio return was negative (-2.39%)."
2015,0.010302406203328231,0.15949774049759832,0.02605268710836532,0.02889428117704079,0.6833744223346995,0.01686628994542956,0.026572418382050073,0.03472596550212178,0.013713788848683114,0.09005835975653458,3.482166940865297,0.0,0.28379929143346616,8.116391045888895e-249,0.9999999999656666,3.434443047907785e-11,Bear,Baa Corporate,0.6833744223346995,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (1.4%), indicating risk-on allocation. The largest allocation is to Baa Corporate (68.3%). The realised next-period portfolio return was positive (9.01%)."
2016,0.001626333355832337,0.8908746956557596,0.003918266524055058,0.005237205550600126,0.07794100106526626,0.003924224626577813,0.01067647070112217,0.0027853596091605612,0.003016442910735034,0.12212503769193335,3.907426709768076,0.0,1.4627539103165303,3.143123090578441e-231,1.0,1.7851885060974624e-21,Bear,Small Cap,0.8908746956557596,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.3%), indicating risk-on allocation. The largest allocation is to Small Cap (89.1%). Turnover is high (1.46), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (12.21%)."
2017,0.014552264114981811,0.23886716933860647,0.03202116541842172,0.033609213724414284,0.5313965070627191,0.027372208996065937,0.04272475018753802,0.05960442231603202,0.019852298840689033,-0.07174347550767894,3.6270943373177795,-0.07174347550766057,1.3040150526346657,2.9290392959374927e-221,1.0,9.681461965281698e-14,Bear,Baa Corporate,0.5313965070627191,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (2.0%), indicating risk-on allocation. The largest allocation is to Baa Corporate (53.1%). Portfolio has a mild drawdown (-7.2%). Turnover is high (1.30), meaning the policy made a substantial allocation change. The realised next-period portfolio return was negative (-7.17%)."
2018,0.012753593614558911,0.031812440831629325,0.03103368591257347,0.031189885061146647,0.784963434051089,0.016101908687543975,0.02210350132850942,0.054759503685032324,0.015282046827131987,0.11293760606809691,4.0367296887576,0.0,0.5071338539769932,3.3463028785208184e-217,0.9999999991482582,8.51668229340132e-10,Bear,Baa Corporate,0.784963434051089,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (1.5%), indicating risk-on allocation. The largest allocation is to Baa Corporate (78.5%). Turnover is high (0.51), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (11.29%)."
2019,0.01912743658687127,0.02358369121859766,0.04178239725487359,0.033899428699266175,0.6855358397108288,0.02679722745087411,0.031938920543129065,0.1164530643973407,0.02088199413753325,0.08730160660106544,4.389142676000357,0.0,0.21531268790668337,1.3509768757332552e-181,0.9999999999956799,4.410597410331939e-12,Bear,Baa Corporate,0.6855358397108288,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (2.1%), indicating risk-on allocation. The largest allocation is to Baa Corporate (68.6%). The realised next-period portfolio return was positive (8.73%)."
2020,0.03320037546715856,0.011259189419715848,0.051682472396733424,0.04058248743626842,0.4353110637765181,0.041207686470411,0.04774229246621929,0.30408660567148454,0.03492782689505544,-0.0037181992801733127,4.372822968861874,-0.003718199280172598,0.525098555466635,3.860054801155786e-166,0.9987988116845855,0.001201188315444353,Bear,Baa Corporate,0.4353110637765181,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (3.5%), indicating risk-on allocation. The largest allocation is to Baa Corporate (43.5%). Portfolio has a mild drawdown (-0.4%). Turnover is high (0.53), meaning the policy made a substantial allocation change. The realised next-period portfolio return was negative (-0.37%)."
2021,0.04599423550919643,0.0012466454944005825,0.028843641743638983,0.043364554481919323,0.06553643565956879,0.02357958358481836,0.05101032345536178,0.6528739096415923,0.08755067042885055,0.0029405376401280305,4.3856814193954285,-0.0007885951449820359,0.8405082111616858,5.590813745143724e-239,2.918142968968216e-06,0.9999970818570832,Crisis,Inflation,0.6528739096415923,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (8.8%), indicating risk-on allocation. The largest allocation is to Inflation (65.3%). Portfolio has a mild drawdown (-0.1%). Turnover is high (0.84), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (0.29%)."
2022,0.0293964650500972,0.10718761377276155,0.02367043087875715,0.07120335848057067,0.24956855403529868,0.01556245589420974,0.17673684070009113,0.19178453853032906,0.13488974265763523,0.04484573868125667,4.582360542268878,0.0,0.9817549602521092,0.0,3.5722777412995825e-17,1.0,Crisis,Baa Corporate,0.24956855403529868,Balanced,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is moderate (13.5%), indicating balanced allocation. The largest allocation is to Baa Corporate (25.0%). Turnover is high (0.98), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (4.48%)."
2023,0.0019617256511480427,0.914877056677272,0.0021231003407339772,0.005849624029159673,0.02113252427921426,0.002322321693579819,0.035320270361373064,0.005143993647517387,0.011269383319086794,0.05878750735116817,4.851746096333213,0.0,1.6153788858096865,0.0,7.68489090213732e-10,0.999999999231477,Crisis,Small Cap,0.914877056677272,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (1.1%), indicating risk-on allocation. The largest allocation is to Small Cap (91.5%). Turnover is high (1.62), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (5.88%)."
